,Nombre,Sector - Subsector,Mercado,Índices
0,"ABENGOA, S.A.","Mat.Basicos, Industria y Construcción - Ingeniería y Otros",Mercado Continuo, 
1,"ACCIONA,S.A.","Mat.Basicos, Industria y Construcción - Construcción",Mercado Continuo,IBEX 35®
2,"ACERINOX, S.A.","Mat.Basicos, Industria y Construcción - Mineral, Metales y Transformación",Mercado Continuo,"IBEX 35®, IBEX TOP Dividendo®"
3,"ACS,ACTIVIDADES DE CONST.Y SERVICIOS S.A","Mat.Basicos, Industria y Construcción - Construcción",Mercado Continuo,"IBEX 35®, IBEX TOP Dividendo®"
4,"ADOLFO DOMINGUEZ, S.A.","Bienes de Consumo - Textil, Vestido y Calzado",Mercado Continuo, 
5,"AEDAS HOMES, S.A.",Servicios Inmobiliarios - Inmobiliarias y Otros,Mercado Continuo, 
6,"AENA, S.M.E., S.A.",Servicios de Consumo - Transporte y Distribución,Mercado Continuo,IBEX 35®
7,AIRBUS SE,"Mat.Basicos, Industria y Construcción - Aerospacial",Mercado Continuo, 
8,AIRTIFICIAL INTELLIGENCE STRUCTURES S.A.,"Mat.Basicos, Industria y Construcción - Ingeniería y Otros",Mercado Continuo, 
9,"ALANTRA PARTNERS, S.A.",Servicios Financieros - Cartera y Holding,Mercado Continuo, 
10,"ALFA, S.A.B. DE C.V.",Servicios Financieros - Cartera y Holding,Latibex,"FTSE Latibex TOP, FTSE Latibex All Share"
11,"ALMIRALL, S.A.",Bienes de Consumo - Productos farmaceúticos y Biotecnología,Mercado Continuo,IBEX 35®
12,"AMADEUS IT GROUP, S.A.",Tecnología y Telecomunicaciones - Electrónica y Software,Mercado Continuo,IBEX 35®
13,"AMERICA MOVIL S,A,B,",Tecnología y Telecomunicaciones - Telecomunicaciones y Otros,Latibex,"FTSE Latibex TOP, FTSE Latibex All Share"
14,"AMPER, S.A.",Tecnología y Telecomunicaciones - Electrónica y Software,Mercado Continuo, 
15,"AMREST HOLDINGS, S.E.","Servicios de Consumo - Ocio, Turismo y Hostelería",Mercado Continuo, 
16,"APERAM, SOCIETE ANONYME","Mat.Basicos, Industria y Construcción - Mineral, Metales y Transformación",Mercado Continuo, 
17,"APPLUS SERVICES, S.A.","Mat.Basicos, Industria y Construcción - Ingeniería y Otros",Mercado Continuo, 
18,"ARCELORMITTAL, S.A.","Mat.Basicos, Industria y Construcción - Mineral, Metales y Transformación",Mercado Continuo,IBEX 35®
19,"ARIMA REAL ESTATE SOCIMI, S.A.",Servicios Inmobiliarios - SOCIMI,Mercado Continuo, 
20,ATRESMEDIA CORP. DE MEDIOS DE COM. S.A.,Servicios de Consumo - Medios de Comunicación y Publicidad,Mercado Continuo, 
21,"AUDAX RENOVABLES, S.A.",Petróleo y Energía - Energías Renovables,Mercado Continuo, 
22,"AYCO GRUPO INMOBILIARIO, S.A.",Servicios Inmobiliarios - Inmobiliarias y Otros,Parqué, 
23,AZKOYEN S.A.,"Mat.Basicos, Industria y Construcción - Fabric. y Montaje Bienes de Equipo",Mercado Continuo, 
24,"BANCO BBVA ARGENTINA, S.A.",Servicios Financieros - Bancos y Cajas de Ahorro,Latibex,FTSE Latibex All Share
