,Nombre,Anterior,Último,% Dif.,Máximo,Mínimo,Fecha,Hora,"% Dif.
Año 2021"
0,IBEX 35®,"8.796,30","8.706,70","-1,02","8.709,10","8.654,80",01/10/2021,09:30:24,"7,84"
1,IBEX 35® con Dividendos,"26.951,50","26.677,20","-1,02","26.684,50","26.518,10",01/10/2021,09:30:24,"9,95"
2,IBEX MEDIUM CAP®,"13.462,50","13.380,20","-0,61","13.380,20","13.330,60",01/10/2021,09:30:11,"5,22"
3,IBEX SMALL CAP®,"8.252,70","8.204,50","-0,58","8.204,50","8.141,10",01/10/2021,09:30:22,"1,31"
4,IBEX 35® Bancos,"505,00","494,60","-2,06","496,20","491,40",01/10/2021,09:30:23,"31,51"
5,IBEX 35® Energía,"1.209,90","1.205,90","-0,33","1.206,20","1.196,80",01/10/2021,09:30:22,"-6,91"
6,IBEX 35® Construcción,"1.468,40","1.451,10","-1,18","1.451,10","1.435,00",01/10/2021,09:30:05,"2,89"
7,IBEX TOP Dividendo®,"2.535,00","2.513,20","-0,86","2.513,60","2.501,20",01/10/2021,09:30:23,"15,60"
8,IBEX 35® con Dividendos Netos,"22.556,70","22.327,00","-1,02","22.333,20","22.193,90",01/10/2021,09:30:24,"9,60"
9,IBEX 35® Inverso,"2.201,00","2.223,40","1,02","2.236,40","2.222,80",01/10/2021,09:30:24,"-10,85"
10,IBEX 35® Doble Inverso,"242,50","247,40","2,02","250,30","247,30",01/10/2021,09:30:24,"-21,93"
11,IBEX 35® Inverso X3,"9.977,60","10.282,10","3,05","10.458,80","10.274,00",01/10/2021,09:30:24,"236,13"
12,IBEX 35® Inverso X5,"1.087,40","1.142,70","5,09","1.174,80","1.141,20",01/10/2021,09:30:24,"-53,18"
13,IBEX 35® Inverso X10,"27,90","30,70","10,04","32,40","30,70",01/10/2021,09:30:24,"-86,56"
14,IBEX 35® Doble Apalancado,"4.079,30","3.996,20","-2,04","3.998,40","3.948,10",01/10/2021,09:30:24,"14,15"
15,IBEX 35® Doble Apalancado Bruto,"19.206,80","18.815,80","-2,04","18.826,20","18.589,10",01/10/2021,09:30:24,"18,69"
16,IBEX 35® Doble Apalancado Neto,"15.972,30","15.647,00","-2,04","15.655,80","15.458,50",01/10/2021,09:30:24,"17,92"
17,IBEX 35® Apalancado X3,"564,30","547,10","-3,05","547,50","537,10",01/10/2021,09:30:24,"18,68"
18,IBEX 35® Apalancado Neto X3,"6.687,20","6.482,90","-3,06","6.488,40","6.364,50",01/10/2021,09:30:24,"24,55"
19,IBEX 35® Apalancado Neto X5,"367,50","348,80","-5,09","349,30","337,90",01/10/2021,09:30:24,"31,42"
20,IBEX 35® Apalancado Neto X10,"336,90","302,60","-10,18","303,50","282,70",01/10/2021,09:30:24,"7,23"
21,IBEX 35® Capped Net Return,"22.618,40","22.388,20","-1,02","22.394,30","22.254,60",01/10/2021,09:30:24,"9,60"
22,IBEX 35® Impacto Div,"180,00","180,00",-,"180,00","180,00",30/09/2021,17:38:00,-
23,IBEX 35® Volatilidad Objetivo 10% Estándar,"180,70","179,60","-0,61","179,60","178,90",01/10/2021,09:30:24,"3,40"
24,IBEX 35® Volatilidad Objetivo 12% Estándar,"187,20","185,80","-0,75","185,80","185,00",01/10/2021,09:30:24,"4,50"
